label,t_pi,t_lambda,cluster_tol,n_eigs,max_levels,terminal_level,ran_out,L0..L3_exact_matches,L0,L1,L2,L3,L4
baseline,0.21,0.001,0.0001,8,4,3,False,1,"(3,2,2,2)","(5,4,3,3)","(8,6,5,1)","(9,2,6,0)",
max_levels=8 only,0.21,0.001,0.0001,8,8,3,False,1,"(3,2,2,2)","(5,4,3,3)","(8,6,5,1)","(9,2,6,0)",
t_lambda=0.03,0.21,0.03,0.0001,8,8,3,False,1,"(3,2,2,2)","(5,4,3,3)","(8,6,5,1)","(9,2,6,0)",
t_lambda=0.085,0.21,0.085,0.0001,8,8,3,False,1,"(3,2,2,2)","(5,4,3,3)","(8,6,5,1)","(9,2,6,0)",
t_lambda=0.15,0.21,0.15,0.0001,8,8,2,False,0,"(3,2,1,2)","(5,4,1,1)","(6,2,2,0)",,
t_pi=0.3,0.3,0.001,0.0001,8,8,3,False,1,"(3,2,2,2)","(5,4,3,3)","(8,6,5,1)","(9,2,6,0)",
t_pi=0.43,0.43,0.001,0.0001,8,8,3,False,1,"(3,2,2,2)","(5,4,3,3)","(8,6,5,2)","(10,4,6,0)",
t_pi=0.57,0.57,0.001,0.0001,8,8,4,False,1,"(3,2,2,2)","(5,4,3,4)","(9,8,6,4)","(13,8,9,1)","(14,2,10,0)"
n_eigs=4,0.21,0.001,0.0001,4,8,1,False,0,"(3,2,2,1)","(4,2,2,0)",,,
n_eigs=6,0.21,0.001,0.0001,6,8,1,False,0,"(3,2,2,1)","(4,2,2,0)",,,
"t_pi=0.43, t_lambda=0.085",0.43,0.085,0.0001,8,8,3,False,1,"(3,2,2,2)","(5,4,3,3)","(8,6,5,2)","(10,4,6,0)",
"t_pi=0.57, t_lambda=0.085",0.57,0.085,0.0001,8,8,3,False,1,"(3,2,2,2)","(5,4,3,4)","(9,8,6,4)","(13,8,9,0)",
"t_pi=0.43, t_lambda=0.085, n_eigs=6",0.43,0.085,0.0001,6,8,2,False,0,"(3,2,1,2)","(5,4,2,1)","(6,2,2,0)",,
"tight t_pi=0.21, t_lambda=0.085, n_eigs=6",0.21,0.085,0.0001,6,8,1,False,0,"(3,2,2,1)","(4,2,2,0)",,,
"tight t_pi=0.3, t_lambda=0.085, n_eigs=6",0.3,0.085,0.0001,6,8,2,False,0,"(3,2,1,1)","(4,2,1,1)","(5,2,1,0)",,
"tight t_pi=0.35, t_lambda=0.085, n_eigs=6",0.35,0.085,0.0001,6,8,2,False,0,"(3,2,1,1)","(4,2,1,1)","(5,2,1,0)",,
"t_pi=0.4, t_lambda=0.085, n_eigs=6",0.4,0.085,0.0001,6,8,2,False,0,"(3,2,1,2)","(5,4,2,1)","(6,2,2,0)",,
"t_pi=0.43, t_lambda=0.05, n_eigs=6",0.43,0.05,0.0001,6,8,2,False,0,"(3,2,1,2)","(5,4,2,1)","(6,2,2,0)",,
"t_pi=0.43, t_lambda=0.03, n_eigs=6",0.43,0.03,0.0001,6,8,2,False,0,"(3,2,1,2)","(5,4,1,1)","(6,2,1,0)",,
"t_pi=0.43, t_lambda=0.07, n_eigs=6",0.43,0.07,0.0001,6,8,2,False,0,"(3,2,1,2)","(5,4,2,1)","(6,2,2,0)",,
"t_pi=0.45, t_lambda=0.085, n_eigs=6",0.45,0.085,0.0001,6,8,2,False,0,"(3,2,1,2)","(5,4,2,2)","(7,4,2,0)",,
"t_pi=0.45, t_lambda=0.07, n_eigs=6",0.45,0.07,0.0001,6,8,2,False,0,"(3,2,1,2)","(5,4,2,2)","(7,4,2,0)",,
"t_pi=0.4, t_lambda=0.07, n_eigs=6",0.4,0.07,0.0001,6,8,2,False,0,"(3,2,1,2)","(5,4,2,1)","(6,2,2,0)",,
"t_pi=0.4, t_lambda=0.05, n_eigs=6",0.4,0.05,0.0001,6,8,2,False,0,"(3,2,1,2)","(5,4,2,1)","(6,2,2,0)",,
